id,tournamentid,countryid,name,isactive
6897,12,37,2018/2019,0
6898,12,37,2019/2020,1
6899,13,15,2012/2013,0
6900,13,15,2013/2014,0
6901,13,15,2014/2015,0
6902,13,15,2015/2016,0
6903,13,15,2016/2017,0
6904,13,15,2017/2018,0
6905,13,15,2018/2019,0
6906,13,15,2019/2020,1
6907,14,75,2012/2013,0
6908,14,75,2013/2014,0
6909,14,75,2014/2015,0
6910,14,75,2015/2016,0
6911,14,75,2016/2017,0
6912,14,75,2017/2018,0
6913,14,75,2018/2019,0
6914,14,75,2019/2020,1
6915,15,18,2012/2013,0
6916,15,18,2013/2014,0
6917,15,18,2014/2015,0
6918,15,18,2015/2016,0
6919,15,18,2016/2017,0
6920,15,18,2017/2018,0
6921,15,18,2018/2019,0
6922,15,18,2019/2020,1
6923,16,58,2012/2013,0
6924,16,58,2013/2014,0
6925,16,58,2014/2015,0
6926,16,58,2015/2016,0
6927,16,58,2016/2017,0
6928,16,58,2017/2018,0
6929,16,58,2018/2019,0
6930,16,58,2019/2020,1
6931,17,9,2013/2014,0
6932,17,9,2014/2015,0
6933,17,9,2015/2016,0
6934,17,9,2016/2017,0
6935,17,9,2017/2018,0
6936,17,9,2018/2019,0
6937,17,9,2019/2020,1
6938,18,10,2014/2015,0
6939,18,10,2015/2016,0
6940,18,10,2016/2017,0
6941,18,10,2017/2018,0
6942,18,10,2018/2019,1
6943,19,55,2013/2014,0
6944,19,55,2014/2015,0
6945,19,55,2015/2016,0
6946,19,55,2016/2017,0
6947,19,55,2017/2018,0
6948,19,55,2018/2019,1
6949,20,23,2012/2013,0
6950,20,23,2013/2014,0
6951,20,23,2014/2015,0
6952,20,23,2015/2016,0
6953,20,23,2016/2017,0
6954,20,23,2017/2018,0
6955,20,23,2018/2019,0
6956,20,23,2019/2020,1
6957,21,5,2014/2015,0
6958,21,5,2015/2016,0
6959,21,5,2016/2017,0
6960,21,5,2017/2018,0
6961,21,5,2018/2019,0
6962,21,5,2019/2020,1
6963,22,9,2014/2015,0
6964,22,9,2015/2016,0
6965,22,9,2016/2017,0
6966,22,9,2017/2018,0
6967,22,9,2018/2019,0
6968,22,9,2019/2020,1
6969,23,47,2012/2013,0
6970,23,47,2013/2014,0
6971,23,47,2014/2015,0
6972,23,47,2015/2016,0
6973,23,47,2016/2017,0
6974,23,47,2017/2018,0
6975,23,47,2018/2019,0
6976,23,47,2019/2020,1
6977,24,20,2013/2014,0
6978,24,20,2014/2015,0
6979,24,20,2015/2016,0
6980,24,20,2016/2017,0
6981,24,20,2017/2018,0
6982,24,20,2018/2019,0
6983,24,20,2019/2020,1
6984,25,76,2012/2013,0
6985,25,76,2013/2014,0
6986,25,76,2014/2015,0
6987,25,76,2015/2016,0
6988,25,76,2016/2017,0
